esp_timestamp_us,rssi,i0,q0,i1,q1,i2,q2,i3,q3,i4,q4,i5,q5,i6,q6,i7,q7,i8,q8,i9,q9,i10,q10,i11,q11,i12,q12,i13,q13,i14,q14,i15,q15,i16,q16,i17,q17,i18,q18,i19,q19,i20,q20,i21,q21,i22,q22,i23,q23,i24,q24,i25,q25,i26,q26,i27,q27,i28,q28,i29,q29,i30,q30,i31,q31,i32,q32,i33,q33,i34,q34,i35,q35,i36,q36,i37,q37,i38,q38,i39,q39,i40,q40,i41,q41,i42,q42,i43,q43,i44,q44,i45,q45,i46,q46,i47,q47,i48,q48,i49,q49,i50,q50,i51,q51,i52,q52,i53,q53,i54,q54,i55,q55,i56,q56,i57,q57,i58,q58,i59,q59,i60,q60,i61,q61,i62,q62,i63,q63
874555283,-50,0,0,18,-7,20,-6,20,-4,20,-3,19,-2,16,0,14,0,11,1,7,0,4,-1,1,-3,-1,-5,-3,-7,-4,-9,-5,-11,-4,-13,-4,-15,-2,-15,-1,-15,1,-14,2,-13,2,-10,3,-8,2,-6,1,-4,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,8,-4,8,-4,9,-3,9,-2,9,-2,9,-1,9,0,10,1,10,2,11,4,12,5,12,5,13,6,13,6,13,6,14,6,13,6,12,5,11,6,9,5,7,6,5,7,2,9,-1,11,-4,13,-6
874573174,-87,0,0,-6,-12,-7,-11,-8,-11,-8,-11,-8,-10,-9,-10,-10,-9,-9,-9,-8,-9,-7,-9,-7,-9,-5,-9,-4,-10,-3,-12,-3,-13,-2,-13,-2,-14,-2,-14,-1,-14,-1,-15,-1,-14,-1,-13,-1,-12,0,-11,1,-11,2,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,4,-8,4,-9,4,-9,4,-10,4,-10,3,-9,3,-9,2,-9,1,-9,0,-9,-1,-9,-2,-9,-2,-9,-4,-9,-4,-10,-4,-10,-4,-11,-4,-10,-4,-10,-4,-10,-4,-10,-5,-9,-5,-9,-6,-8,-6,-8,-7
874675437,-88,0,0,7,7,8,7,9,7,10,6,10,6,11,5,11,4,11,4,11,3,10,3,10,4,10,4,10,5,10,6,10,7,10,8,10,8,11,9,11,9,11,9,11,9,9,8,9,8,8,7,7,7,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,7,-1,7,-1,8,-2,8,-2,8,-2,8,-1,8,0,8,0,8,1,8,1,8,2,8,2,8,2,9,2,9,2,9,2,10,1,10,2,9,2,9,2,9,2,9,3,9,3,9,3,9,3
874744899,-67,0,0,-5,6,-4,9,-2,13,-1,18,-2,21,-3,24,-4,25,-5,25,-6,23,-7,21,-7,17,-5,13,-3,10,-1,6,1,3,4,0,7,-2,10,-3,12,-3,14,-3,15,-2,15,-1,15,0,14,1,13,2,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-3,7,-2,6,-1,4,-1,2,-2,0,-3,-1,-5,-1,-6,-2,-8,-2,-9,-1,-9,-2,-8,-3,-8,-4,-7,-6,-6,-8,-6,-11,-5,-13,-4,-15,-4,-17,-4,-18,-4,-19,-4,-19,-4,-17,-3,-15,-3,-13,-2
874777819,-87,0,0,-11,-1,-11,0,-12,1,-12,2,-12,2,-12,3,-12,3,-12,3,-11,3,-12,3,-11,2,-11,1,-12,0,-12,0,-13,-1,-13,-1,-13,-1,-14,-1,-14,-1,-14,-1,-14,-1,-13,-1,-12,-1,-12,-1,-11,-2,-10,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,8,-6,8,-5,8,-5,8,-5,8,-4,7,-5,7,-5,6,-6,5,-6,4,-7,4,-7,4,-7,3,-8,3,-8,4,-8,4,-8,5,-8,5,-8,6,-7,6,-7,5,-8,5,-8,5,-9,4,-9,4,-10,3
874866085,-67,0,0,-7,-4,-10,-1,-15,2,-18,3,-22,4,-25,4,-26,3,-27,2,-26,0,-23,-1,-20,-2,-16,-2,-12,-1,-9,0,-5,2,-1,3,2,5,4,7,6,9,7,11,6,13,6,14,5,14,4,14,2,14,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,7,0,5,0,3,1,1,2,-1,4,-2,5,-2,7,-3,8,-2,8,-2,7,-3,6,-4,5,-6,4,-8,3,-10,2,-12,1,-14,0,-16,0,-18,-1,-19,-1,-19,-1,-19,-1,-18,-1,-16,-1,-13
874964893,-50,0,0,-19,-3,-21,-5,-21,-6,-19,-7,-18,-8,-15,-7,-13,-7,-10,-6,-7,-4,-5,-2,-3,1,-2,3,-1,6,-1,9,-1,10,-2,12,-3,14,-5,13,-6,13,-7,11,-8,10,-7,7,-7,6,-6,4,-3,2,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-6,7,-6,7,-7,6,-7,6,-8,6,-8,5,-9,4,-9,3,-10,3,-11,2,-13,1,-13,1,-14,0,-15,0,-15,0,-16,0,-15,0,-15,0,-13,-1,-12,-2,-10,-3,-8,-6,-6,-9,-4,-11,-3,-14,-2
874982626,-86,0,0,7,9,7,9,8,9,9,8,9,8,10,7,10,7,9,6,8,6,9,6,9,6,8,7,8,8,8,8,8,9,9,10,9,11,9,11,9,12,9,12,8,11,8,10,7,9,7,9,7,8,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,8,2,8,2,9,2,9,2,10,2,9,2,9,2,9,2,8,3,7,3,7,4,8,4,8,5,7,6,8,6,8,6,8,6,7,6,7,6,7,5,6,5,5,5,5,5,4,6,3,6
875067296,-49,0,0,-4,19,-5,19,-7,19,-8,18,-9,16,-9,14,-8,11,-7,8,-5,6,-2,4,1,2,3,1,6,1,8,1,10,1,12,2,13,4,13,5,12,6,11,7,9,8,7,8,5,6,3,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-8,-7,-8,-7,-7,-8,-8,-8,-7,-8,-6,-9,-6,-9,-5,-10,-4,-11,-4,-13,-3,-13,-2,-14,-2,-15,-2,-15,-1,-15,-1,-15,-1,-14,-1,-13,-1,-12,0,-10,1,-8,2,-6,4,-5,7,-4,10,-2,13
875085023,-88,0,0,-3,12,-4,13,-4,13,-4,14,-4,13,-4,13,-4,12,-3,11,-3,10,-3,10,-3,9,-4,8,-5,7,-6,7,-7,8,-8,9,-9,9,-9,11,-10,11,-10,11,-10,11,-9,12,-9,11,-8,10,-8,9,-7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,3,6,4,6,4,6,5,6,5,5,6,4,6,4,6,2,7,2,8,2,9,2,10,1,10,1,11,1,11,1,11,1,11,2,10,1,10,0,10,0,9,0,9,-1,9,-2,9,-3,9
875190398,-67,0,0,4,-1,4,-5,5,-9,6,-13,7,-16,9,-18,10,-19,11,-19,12,-18,11,-16,10,-14,9,-11,7,-9,4,-6,2,-4,-1,-2,-4,0,-6,1,-8,2,-10,3,-12,3,-12,2,-13,2,-13,1,-13,0,-12,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-6,-2,-6,-2,-5,-2,-4,-3,-3,-4,-1,-5,-1,-5,0,-6,1,-6,1,-5,1,-5,2,-4,3,-2,4,-1,5,1,7,2,9,4,10,5,12,6,13,7,14,7,14,7,14,6,13,5,11,5,9
875272092,-49,0,0,-19,6,-21,4,-22,3,-21,2,-19,0,-18,0,-15,-1,-12,-2,-9,-1,-6,0,-3,1,-1,3,1,6,2,7,3,10,3,12,3,14,1,14,0,14,-2,14,-3,12,-4,10,-4,8,-3,6,-2,3,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-9,4,-9,3,-9,3,-10,3,-11,2,-10,1,-10,1,-11,-1,-11,-1,-12,-3,-12,-4,-13,-4,-13,-5,-14,-6,-14,-7,-14,-7,-14,-6,-13,-6,-13,-6,-11,-6,-9,-7,-7,-7,-4,-9,-1,-11,1,-13,3
875336009,-67,0,0,-5,5,-4,7,-3,11,-3,14,-4,17,-5,19,-6,20,-7,20,-8,19,-8,17,-7,14,-6,11,-4,8,-2,6,0,3,3,1,5,0,7,-1,9,-2,11,-1,12,-1,13,-1,12,1,11,2,10,3,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,7,0,5,0,3,0,2,-1,1,-2,0,-4,0,-5,0,-7,0,-8,0,-8,0,-8,-1,-8,-2,-7,-4,-6,-6,-6,-8,-6,-10,-6,-12,-6,-13,-6,-15,-6,-15,-5,-16,-6,-15,-6,-13,-5,-12,-4
875374496,-49,0,0,17,6,18,7,18,8,17,10,15,10,13,10,10,9,8,7,6,5,4,3,3,0,2,-3,2,-6,2,-8,3,-10,4,-12,6,-13,7,-13,8,-12,9,-10,9,-9,9,-6,8,-5,6,-3,3,-2,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,4,-9,5,-8,5,-9,6,-8,6,-8,6,-8,7,-7,8,-6,8,-6,9,-5,11,-4,12,-4,12,-4,13,-4,13,-3,14,-3,14,-3,14,-3,12,-2,11,-1,10,0,8,3,7,6,5,10,4,12,4
875476894,-49,0,0,-11,15,-13,15,-15,16,-15,14,-16,12,-14,10,-13,8,-11,6,-8,4,-5,3,-2,3,1,3,4,3,7,4,9,5,10,8,10,9,10,11,8,11,7,12,5,12,3,10,1,9,0,7,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-10,-3,-10,-4,-10,-4,-11,-5,-10,-6,-10,-6,-9,-7,-9,-7,-8,-9,-8,-10,-8,-12,-8,-12,-8,-13,-8,-14,-7,-14,-7,-14,-7,-14,-7,-13,-7,-12,-6,-11,-4,-9,-2,-8,1,-8,4,-7,8,-8,11
875494601,-88,0,0,14,-7,14,-7,13,-7,12,-8,12,-8,11,-8,10,-8,9,-7,9,-7,8,-6,8,-5,9,-4,11,-3,11,-2,12,-2,13,-2,14,-3,15,-3,16,-3,15,-3,14,-3,14,-3,14,-4,13,-4,13,-4,12,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-9,-3,-9,-2,-9,-2,-10,-2,-10,-1,-10,0,-10,0,-10,1,-10,2,-10,3,-10,3,-9,3,-9,3,-10,4,-10,4,-10,4,-10,4,-11,4,-10,4,-10,5,-10,5,-9,6,-9,7,-9,7,-8,8,-8
875579303,-49,0,0,-4,-19,-4,-21,-3,-21,-1,-21,1,-20,2,-17,2,-15,2,-12,1,-9,-1,-7,-3,-4,-4,-2,-7,-1,-9,0,-11,0,-13,-1,-15,-1,-15,-3,-14,-5,-13,-6,-11,-7,-9,-7,-7,-7,-5,-6,-4,-4,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,9,0,10,0,10,-1,10,-1,10,-2,11,-2,11,-2,11,-3,11,-4,11,-5,11,-6,12,-6,12,-7,12,-8,12,-8,12,-8,12,-8,11,-8,9,-7,8,-7,6,-8,3,-8,1,-10,-2,-12,-3,-14
875681699,-49,0,0,-19,1,-20,-1,-21,-2,-20,-3,-19,-4,-16,-5,-14,-5,-11,-5,-8,-3,-6,-1,-4,1,-3,3,-2,5,-2,8,-2,10,-3,12,-4,13,-5,13,-6,12,-7,11,-8,9,-8,7,-7,5,-6,3,-4,2,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-10,2,-10,2,-10,1,-11,0,-11,0,-11,-1,-11,-1,-12,-2,-12,-3,-12,-4,-13,-4,-13,-5,-14,-5,-14,-6,-14,-6,-14,-6,-14,-6,-13,-6,-13,-6,-11,-6,-9,-7,-8,-8,-5,-10,-3,-12,-1,-14,0
875699451,-88,0,0,-13,10,-12,10,-12,10,-11,10,-11,11,-10,10,-9,10,-9,9,-9,9,-9,7,-10,7,-10,7,-11,6,-12,5,-13,6,-14,6,-14,6,-15,6,-15,6,-14,6,-14,6,-13,5,-12,5,-11,4,-11,3,-11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,2,9,1,9,1,9,0,9,0,8,-1,8,-1,8,-2,7,-3,7,-4,6,-5,6,-5,7,-6,7,-6,8,-6,8,-7,8,-7,8,-7,8,-6,8,-6,8,-6,8,-7,9,-7,9,-7,9,-8,9
875784102,-49,0,0,-15,12,-17,12,-18,11,-18,9,-17,7,-16,5,-14,4,-11,2,-8,2,-5,2,-2,3,0,3,3,5,4,6,5,8,6,10,5,12,4,13,3,13,1,13,0,12,-1,9,-2,8,-2,6,-2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-10,-4,-9,-4,-9,-5,-9,-6,-10,-6,-9,-7,-9,-7,-9,-8,-8,-9,-9,-11,-9,-11,-8,-12,-8,-12,-9,-13,-8,-14,-9,-13,-8,-13,-8,-12,-7,-11,-6,-10,-4,-9,-3,-9,0,-10,3,-10,6,-11,9
875879196,-67,0,0,-3,-8,-7,-8,-11,-9,-14,-11,-17,-13,-19,-15,-19,-17,-17,-18,-16,-19,-14,-18,-11,-16,-9,-13,-7,-10,-6,-7,-5,-4,-4,0,-5,3,-6,6,-7,8,-8,9,-9,10,-11,10,-11,9,-12,8,-12,6,-12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,4,0,3,1,2,3,1,4,0,5,0,6,0,7,0,7,0,7,-1,7,-2,7,-4,7,-5,7,-7,7,-9,8,-10,8,-12,9,-13,9,-14,9,-15,9,-15,8,-14,7,-13,6,-11
875910082,-91,0,0,-14,1,-14,1,-12,1,-11,1,-9,1,-7,1,-4,1,-3,2,-1,2,1,1,4,0,5,-1,7,0,8,-1,8,-2,8,-1,8,-2,8,-2,8,-1,7,0,7,0,5,0,3,1,2,1,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,7,2,5,2,3,2,2,3,-1,4,-3,6,-4,7,-4,9,-6,10,-6,10,-7,11,-6,12,-6,11,-5,10,-4,9,-4,6,-3,4,-3,2,-1,-1,-1,-3,0,-5,0,-6,1,-8,2,-9,2
876006640,-86,0,0,13,7,12,6,12,6,11,5,11,5,10,4,10,4,10,4,9,4,8,5,8,5,8,6,9,7,9,8,10,9,10,9,10,9,11,9,11,8,11,8,10,8,8,7,7,6,6,5,4,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-3,7,-3,7,-3,8,-3,8,-2,8,-2,7,-2,7,-1,7,-1,7,0,6,0,7,1,7,2,8,3,9,3,9,4,10,3,10,3,10,3,10,4,10,4,10,4,9,4,9,4,9,5,9,5
876024014,-67,0,0,-7,0,-9,2,-11,5,-14,7,-17,8,-20,9,-21,8,-21,7,-20,5,-19,4,-16,3,-13,2,-10,2,-6,2,-2,2,1,3,4,4,6,5,7,7,8,8,8,9,8,10,7,11,6,11,5,10,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,2,4,2,3,2,2,3,0,3,-1,4,-2,4,-3,4,-3,4,-4,4,-4,3,-5,2,-6,1,-8,0,-9,-1,-11,-2,-12,-2,-14,-3,-15,-4,-15,-4,-16,-4,-15,-4,-14,-4,-12,-4,-10
876130929,-90,0,0,8,-24,7,-23,7,-21,6,-19,5,-16,4,-14,3,-12,2,-9,0,-8,-2,-6,-5,-4,-5,-1,-7,0,-8,0,-10,3,-11,4,-13,2,-12,3,-13,2,-12,0,-13,-1,-12,-2,-11,-3,-9,-5,-8,-6,-7,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,6,-5,5,-3,6,-1,6,1,6,3,7,5,8,7,8,9,9,9,10,10,11,10,12,10,11,9,11,8,10,8,9,7,7,6,5,7,2,6,0,5,-4,5,-7,6,-10,6,-12,7,-15,7,-17
876211415,-87,0,0,2,-12,1,-13,1,-14,0,-14,0,-13,0,-13,-1,-13,-1,-12,-1,-11,-1,-10,-1,-10,1,-10,2,-10,2,-11,3,-11,3,-11,4,-11,5,-12,5,-12,5,-12,5,-12,4,-11,4,-11,4,-10,4,-9,3,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-6,-8,-6,-8,-6,-8,-7,-8,-7,-8,-7,-6,-7,-6,-7,-5,-7,-5,-8,-4,-8,-4,-8,-3,-9,-3,-10,-2,-10,-3,-10,-3,-10,-3,-10,-3,-10,-3,-10,-2,-10,-2,-10,-2,-10,-1,-10,-1,-10,-1,-11
876259672,-66,0,0,5,-4,4,-7,4,-11,4,-15,5,-18,7,-20,8,-21,9,-21,10,-20,10,-18,9,-16,8,-13,7,-10,4,-7,1,-5,-2,-4,-5,-2,-8,-1,-10,-1,-12,-1,-14,-1,-15,-2,-15,-3,-15,-4,-14,-5,-13,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-2,-5,-2,-4,-1,-3,0,-3,1,-3,2,-3,3,-3,5,-4,5,-3,5,-3,5,-1,5,0,5,2,5,4,6,6,6,8,7,10,7,11,7,12,8,13,9,13,9,13,9,13,8,11,7,10,5
876296109,-50,0,0,6,18,6,19,4,20,3,20,1,18,-1,16,-1,14,-2,11,-1,7,0,5,2,2,4,0,6,-2,8,-3,10,-4,12,-3,14,-3,14,-1,14,1,13,2,11,3,9,3,7,3,5,2,3,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,-2,-10,-2,-10,-2,-11,-1,-11,0,-11,0,-11,1,-11,2,-11,2,-12,4,-12,5,-12,6,-12,7,-13,7,-13,7,-13,8,-13,7,-12,7,-11,7,-10,6,-8,7,-5,6,-3,7,0,9,3,11,5,13
876398506,-50,0,0,-12,16,-13,15,-15,15,-15,13,-15,11,-14,9,-12,7,-10,5,-7,4,-4,3,-1,3,2,3,5,3,7,4,9,6,10,7,10,9,10,10,8,11,7,11,5,11,3,9,2,8,1,6,0,5,-2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-10,-3,-10,-3,-10,-4,-10,-5,-9,-5,-9,-6,-9,-7,-9,-8,-8,-9,-8,-11,-8,-12,-8,-12,-8,-13,-8,-13,-8,-13,-8,-13,-7,-13,-7,-12,-6,-11,-5,-10,-3,-9,-1,-8,2,-8,5,-8,8,-8,11
876466038,-67,0,0,-3,7,0,10,4,14,6,18,8,21,8,24,7,26,5,26,4,25,2,22,1,19,0,15,0,10,1,5,3,1,4,-3,6,-6,8,-8,10,-10,12,-10,14,-10,14,-9,14,-8,14,-7,13,-5,12,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-5,6,-5,5,-4,4,-3,2,-4,1,-5,0,-6,0,-7,-1,-8,-1,-8,-1,-9,-2,-8,-3,-6,-5,-5,-8,-4,-10,-2,-13,-1,-15,-1,-17,0,-19,1,-20,2,-21,2,-20,1,-19,1,-17,2,-14,2
876518637,-86,0,0,2,13,2,13,2,13,3,13,3,12,3,11,4,10,5,9,4,9,5,8,5,8,5,7,5,7,5,8,6,9,6,9,6,9,7,9,7,9,8,8,7,8,7,7,6,6,5,5,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,7,-3,7,-3,7,-2,7,-2,7,-2,8,-2,8,-2,7,-2,7,-2,6,-2,7,-2,7,-2,7,-3,8,-3,8,-2,8,-1,9,-2,9,-1,9,-1,9,-1,10,-1,9,0,9,0,9,-1,9,-1,9
876603312,-50,0,0,-19,4,-21,3,-22,2,-21,0,-20,-2,-17,-2,-15,-3,-12,-3,-9,-2,-5,-1,-3,1,-1,3,0,6,1,8,2,10,2,12,1,14,-1,14,-2,14,-4,13,-5,11,-5,9,-5,7,-4,5,-3,3,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-10,4,-10,3,-10,2,-11,2,-11,1,-11,0,-11,0,-11,-1,-11,-2,-13,-4,-13,-4,-14,-5,-14,-5,-15,-6,-14,-6,-15,-6,-14,-6,-14,-6,-13,-6,-11,-6,-9,-7,-7,-7,-4,-10,-2,-12,1,-14,3
